order_details_id,order_id,order_date,order_time,item_id,menu_item_id,item_name,category,price
1,1,01-01-2023,11:38:36,109,109,Korean Beef Bowl,Asian,17.95
2,2,01-01-2023,11:57:40,108,108,Tofu Pad Thai,Asian,14.5
3,2,01-01-2023,11:57:40,124,124,Spaghetti,Italian,14.5
4,2,01-01-2023,11:57:40,117,117,Chicken Burrito,Mexican,12.95
5,2,01-01-2023,11:57:40,129,129,Mushroom Ravioli,Italian,15.5
6,2,01-01-2023,11:57:40,106,106,French Fries,American,7
7,3,01-01-2023,12:12:28,117,117,Chicken Burrito,Mexican,12.95
8,3,01-01-2023,12:12:28,119,119,Chicken Torta,Mexican,11.95
9,4,01-01-2023,12:16:31,117,117,Chicken Burrito,Mexican,12.95
10,5,01-01-2023,12:21:30,117,117,Chicken Burrito,Mexican,12.95
11,6,01-01-2023,12:29:36,101,101,Hamburger,American,12.95
12,6,01-01-2023,12:29:36,114,114,Potstickers,Asian,9
13,7,01-01-2023,12:50:37,123,123,Chips & Guacamole,Mexican,9
14,8,01-01-2023,12:51:37,123,123,Chips & Guacamole,Mexican,9
15,9,01-01-2023,12:52:01,108,108,Tofu Pad Thai,Asian,14.5
16,9,01-01-2023,12:52:01,126,126,Fettuccine Alfredo,Italian,14.5
17,9,01-01-2023,12:52:01,110,110,Pork Ramen,Asian,17.95
18,9,01-01-2023,12:52:01,117,117,Chicken Burrito,Mexican,12.95
19,9,01-01-2023,12:52:01,117,117,Chicken Burrito,Mexican,12.95
20,9,01-01-2023,12:52:01,129,129,Mushroom Ravioli,Italian,15.5
21,9,01-01-2023,12:52:01,122,122,Chips & Salsa,Mexican,7
22,9,01-01-2023,12:52:01,130,130,Shrimp Scampi,Italian,19.95
23,9,01-01-2023,12:52:01,132,132,Eggplant Parmesan,Italian,16.95
24,10,01-01-2023,13:00:15,129,129,Mushroom Ravioli,Italian,15.5
25,10,01-01-2023,13:00:15,105,105,Mac & Cheese,American,7
26,11,01-01-2023,13:02:59,101,101,Hamburger,American,12.95
27,11,01-01-2023,13:02:59,102,102,Cheeseburger,American,13.95
28,11,01-01-2023,13:02:59,102,102,Cheeseburger,American,13.95
29,11,01-01-2023,13:02:59,113,113,Edamame,Asian,5
30,12,01-01-2023,13:04:41,102,102,Cheeseburger,American,13.95
31,12,01-01-2023,13:04:41,102,102,Cheeseburger,American,13.95
32,12,01-01-2023,13:04:41,104,104,Veggie Burger,American,10.5
33,12,01-01-2023,13:04:41,117,117,Chicken Burrito,Mexican,12.95
34,13,01-01-2023,13:11:55,129,129,Mushroom Ravioli,Italian,15.5
35,14,01-01-2023,13:14:19,114,114,Potstickers,Asian,9
36,15,01-01-2023,13:33:00,107,107,Orange Chicken,Asian,16.5
37,15,01-01-2023,13:33:00,124,124,Spaghetti,Italian,14.5
38,15,01-01-2023,13:33:00,121,121,Cheese Quesadillas,Mexican,10.5
39,15,01-01-2023,13:33:00,114,114,Potstickers,Asian,9
40,16,01-01-2023,13:34:07,125,125,Spaghetti & Meatballs,Italian,17.95
41,16,01-01-2023,13:34:07,111,111,California Roll,Asian,11.95
42,16,01-01-2023,13:34:07,106,106,French Fries,American,7
43,17,01-01-2023,13:53:00,101,101,Hamburger,American,12.95
44,17,01-01-2023,13:53:00,116,116,Steak Tacos,Mexican,13.95
45,17,01-01-2023,13:53:00,124,124,Spaghetti,Italian,14.5
46,17,01-01-2023,13:53:00,125,125,Spaghetti & Meatballs,Italian,17.95
47,17,01-01-2023,13:53:00,117,117,Chicken Burrito,Mexican,12.95
48,17,01-01-2023,13:53:00,127,127,Meat Lasagna,Italian,17.95
49,17,01-01-2023,13:53:00,128,128,Cheese Lasagna,Italian,15.5
50,17,01-01-2023,13:53:00,129,129,Mushroom Ravioli,Italian,15.5
51,17,01-01-2023,13:53:00,118,118,Steak Burrito,Mexican,14.95
52,17,01-01-2023,13:53:00,131,131,Chicken Parmesan,Italian,17.95
53,18,01-01-2023,13:57:08,111,111,California Roll,Asian,11.95
54,19,01-01-2023,13:59:09,110,110,Pork Ramen,Asian,17.95
55,19,01-01-2023,13:59:09,120,120,Steak Torta,Mexican,13.95
56,20,01-01-2023,14:03:08,107,107,Orange Chicken,Asian,16.5
57,20,01-01-2023,14:03:08,124,124,Spaghetti,Italian,14.5
58,21,01-01-2023,14:14:29,110,110,Pork Ramen,Asian,17.95
59,22,01-01-2023,14:16:26,124,124,Spaghetti,Italian,14.5
60,22,01-01-2023,14:16:26,110,110,Pork Ramen,Asian,17.95
61,22,01-01-2023,14:16:26,105,105,Mac & Cheese,American,7
62,23,01-01-2023,14:19:03,105,105,Mac & Cheese,American,7
63,24,01-01-2023,14:23:01,101,101,Hamburger,American,12.95
64,24,01-01-2023,14:23:01,110,110,Pork Ramen,Asian,17.95
65,24,01-01-2023,14:23:01,113,113,Edamame,Asian,5
66,24,01-01-2023,14:23:01,119,119,Chicken Torta,Mexican,11.95
67,25,01-01-2023,14:44:44,120,120,Steak Torta,Mexican,13.95
68,25,01-01-2023,14:44:44,106,106,French Fries,American,7
69,26,01-01-2023,14:54:26,108,108,Tofu Pad Thai,Asian,14.5
70,26,01-01-2023,14:54:26,132,132,Eggplant Parmesan,Italian,16.95
71,27,01-01-2023,15:11:17,101,101,Hamburger,American,12.95
72,27,01-01-2023,15:11:17,108,108,Tofu Pad Thai,Asian,14.5
73,27,01-01-2023,15:11:17,131,131,Chicken Parmesan,Italian,17.95
74,28,01-01-2023,15:35:46,103,103,Hot Dog,American,9
75,29,01-01-2023,15:41:01,126,126,Fettuccine Alfredo,Italian,14.5
76,30,01-01-2023,15:41:25,106,106,French Fries,American,7
77,31,01-01-2023,15:50:18,129,129,Mushroom Ravioli,Italian,15.5
78,31,01-01-2023,15:50:18,113,113,Edamame,Asian,5
79,32,01-01-2023,15:53:18,107,107,Orange Chicken,Asian,16.5
80,32,01-01-2023,15:53:18,126,126,Fettuccine Alfredo,Italian,14.5
81,32,01-01-2023,15:53:18,110,110,Pork Ramen,Asian,17.95
82,32,01-01-2023,15:53:18,117,117,Chicken Burrito,Mexican,12.95
83,33,01-01-2023,15:54:08,101,101,Hamburger,American,12.95
84,33,01-01-2023,15:54:08,126,126,Fettuccine Alfredo,Italian,14.5
85,34,01-01-2023,16:21:21,114,114,Potstickers,Asian,9
86,35,01-01-2023,16:32:04,126,126,Fettuccine Alfredo,Italian,14.5
87,35,01-01-2023,16:32:04,112,112,Salmon Roll,Asian,14.95
88,35,01-01-2023,16:32:04,113,113,Edamame,Asian,5
89,35,01-01-2023,16:32:04,106,106,French Fries,American,7
90,36,01-01-2023,16:54:09,101,101,Hamburger,American,12.95
91,36,01-01-2023,16:54:09,108,108,Tofu Pad Thai,Asian,14.5
92,37,01-01-2023,16:56:09,117,117,Chicken Burrito,Mexican,12.95
93,37,01-01-2023,16:56:09,129,129,Mushroom Ravioli,Italian,15.5
94,38,01-01-2023,17:03:00,109,109,Korean Beef Bowl,Asian,17.95
95,38,01-01-2023,17:03:00,110,110,Pork Ramen,Asian,17.95
96,39,01-01-2023,17:07:23,117,117,Chicken Burrito,Mexican,12.95
97,40,01-01-2023,17:14:36,125,125,Spaghetti & Meatballs,Italian,17.95
98,40,01-01-2023,17:14:36,105,105,Mac & Cheese,American,7
99,41,01-01-2023,17:15:20,125,125,Spaghetti & Meatballs,Italian,17.95
100,41,01-01-2023,17:15:20,126,126,Fettuccine Alfredo,Italian,14.5
101,42,01-01-2023,17:28:09,107,107,Orange Chicken,Asian,16.5
102,42,01-01-2023,17:28:09,124,124,Spaghetti,Italian,14.5
103,42,01-01-2023,17:28:09,129,129,Mushroom Ravioli,Italian,15.5
104,42,01-01-2023,17:28:09,118,118,Steak Burrito,Mexican,14.95
105,43,01-01-2023,17:38:34,103,103,Hot Dog,American,9
106,43,01-01-2023,17:38:34,117,117,Chicken Burrito,Mexican,12.95
107,43,01-01-2023,17:38:34,118,118,Steak Burrito,Mexican,14.95
